nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
RUA DEPUTADO LACERDA FRANCO,553,05418001,PINHEIROS,SAO PAULO,SP,346
RUA FRANCISCO KNABBEM,SN,88735000,TERMAS DO GRAVATAL,GRAVATAL,SC,348
SITIO SINAI,SN,19470000,CAMPINAL,PRESIDENTE EPITACIO,SP,350
AVENIDA OTTO BAUMGART,500,02049000,VILA GUILHERME,SAO PAULO,SP,352
RUA PC ALEXANDRITA,205,94431700,LOTEAMENTO ELDORADO,VIAMAO,RS,354
SITIO BELA VISTA,SN,14870970,ZONA RURAL,JABOTICABAL,SP,15358
RUA MARIA FRANCISCA PEREIRA,50,17064430,PARQUE ROOSEVELT,BAURU,SP,359
AVENIDA SAO GABRIEL,477,01435001,JARDIM PAULISTA,SAO PAULO,SP,361
RUA CORONEL LIMA ROCHA,628,57055502,PINHEIRO,MACEIO,AL,363
RUA JOAO PINTO DE OLIVEIRA,480,02849110,JARDIM GUARANI,SAO PAULO,SP,364
ESTRADA AMELIA B DOS SANTOS,113,88380000,MORRETES,BALNEARIO PICARRAS,SC,366
RUA HELIO DE OLIVEIRA,67,40265020,SANTA TERESA,SALVADOR,BA,368
RUA EMILIO TEODORO SILVA,30,37418000,CENTRO,SAO THOME DAS LETRAS,MG,370
RUA PROFESSOR SA NUNES,24,21231030,IRAJA,RIO DE JANEIRO,RJ,372
AVENIDA PEDRO PINTO DE SOUZA,108,99700096,CENTRO,ERECHIM,RS,374
ALAMEDA G,162,91220580,NOVA RESTINGA,PORTO ALEGRE,RS,376
AVENIDA GERMANO HOFFMANN,199,99700036,CENTRO,ERECHIM,RS,378
RUA SILVA VASCONCELLOS,362,28970000,CENTRO,ARARUAMA,RJ,380
RUA JOAO ANTONIO OLIVEIRA,50,06900000,VALFLOR,EMBU GUACU,SP,382
AVENIDA FEIRA DE SANTANA,150,12238000,JARDIM VALE DO SOL,SAO JOSE DOS CAMPOS,SP,384
RUA ABOLICAO,1028,13466280,VILA SANTA CATARINA,AMERICANA,SP,387
RUA DOUTOR SHIGEO MORI,1390,13024500,BARAO GERALDO,CAMPINAS,SP,389
RUA CORONEL VIDAL,88,36080080,MARIANO PROCOPIO,JUIZ DE FORA,MG,391
TRAVESSA LUIZ SOBRAL,1123,26216111,CENTRO,NOVA IGUACU,RJ,393
LOCALIDADE CORREGO DO PRATA,SN,17800000,CORREGO DO PRATA,ADAMANTINA,SP,395
RUA TOMAZ FONSECA,833,26262020,COMENDADOR SOARES,NOVA IGUACU,RJ,397
RUA FRANCISCO SALES,116,37550000,CENTRO,POUSO ALEGRE,MG,399
RUA PRUDENTE DE MORAIS,901,13400315,CENTRO,PIRACICABA,SP,401
RUA SAMPAIO VIDAL,93,13070090,JARDIM CHAPADAO,CAMPINAS,SP,403
RUA DRAGOES DA INDEPENDENC,281,08210040,VILA GUSTAVO,SAO PAULO,SP,405
