nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
RUA SAO CAETANO,351A,52031070,CAMPO GRANDE,RECIFE,PE,7706
MC 2,,73251901,SOBRADINHO,BRASILIA,DF,7707
RUA RODRIGUES LEME,81,13260000,CENTRO,MORUNGABA,SP,7708
RUA PADRE FRANCISCO CHYLAZEK,389,81280030,CIDADE INDUSTRIAL,CURITIBA,PR,7709
RUA GONCALINO CUCHINSKI,374,88115553,SERRARIA,SAO JOSE,SC,7710
RUA L 015,SN,74000000,BAIRRO FELIZ,GOIANIA,GO,7712
AVENIDA MESTRA FININHA,1508,39403222,MORADA DO SOL,MONTES CLAROS,MG,7714
RUA DEZ,206,13179323,JARDIM FANTINATTI NOVA VENEZA,SUMARE,SP,7715
RUA JOSE FABIANO BARCIK,936,82940050,CAJURU,CURITIBA,PR,7717
RUA AMAPA,564,94935050,VILA PONTA PORA,CACHOEIRINHA,RS,7719
RUA BENJAMIN CONSTANT,61,01005000,SE,SAO PAULO,SP,7721
RUA OTTOKAR DOERFFEL,2159,89203358,SAO MARCOS,JOINVILLE,SC,7723
AVENIDA MARGINAL,2,11740974,BALNEARIO SAO JORGE,ITANHAEM,SP,7725
AVENIDA MINAS GERAIS,900,14781010,ALTO SUMARE,BARRETOS,SP,7727
AVENIDA AMAZONAS,885,30180000,CENTRO,BELO HORIZONTE,MG,7729
AVENIDA SAO MIGUEL,2872,03620001,VILA MARIETA,SAO PAULO,SP,7731
RUA PROFESSOR LUIZ ROSA,204,13020260,BOTAFOGO,CAMPINAS,SP,7732
RUA DOIS DE FEVEREIRO,225,20730451,ENCANTADO,RIO DE JANEIRO,RJ,7734
AVENIDA JOSE HERCULANO,4139,11668600,PEREQUE MIRIM,CARAGUATATUBA,SP,7736
RUA DOUTOR QUIRINO,533,13015080,CENTRO,CAMPINAS,SP,7738
RUA BOM JESUS,696,37550000,CENTRO,POUSO ALEGRE,MG,7740
AVENIDA 8 DE NOVEMBRO,688,63475000,CENTRO,JAGUARIBE,CE,7741
RUA CARLOS MAIA,SN,88390000,CENTRO,BARRA VELHA,SC,7743
RUA GETULIO VARGAS,86,96600000,VILA NOVA,CANGUCU,RS,7745
RUA SILVERIO FONTES,540,49060010,PALESTINA,ARACAJU,SE,7747
AVENIDA JULIO MEIRELES,20,72810170,DIOGO MACHADO DE ARAUJO,LUZIANIA,GO,7748
RUA DAS AEROMOCAS,42,07161725,JARDIM AERODROMO,GUARULHOS,SP,7750
AVENIDA PRESIDENTE CASTELO BRANCO,12816,11706500,VILA CAICARA,PRAIA GRANDE,SP,7751
RUA LA CORUNA,443,69097229,NOVA CIDADE,MANAUS,AM,7752
PRACA QUINZE DE NOVEMBRO,16,90020080,CENTRO HISTORICO,PORTO ALEGRE,RS,7753
RUA LUA DO ALFORJE,7,08223545,CONJUNTO HABITACIONAL AGUIA DE HAIA,SAO PAULO,SP,7754
RUA JACARANDA JARDIM BELA VISTA,271,11662730,MARTIM DE SA,CARAGUATATUBA,SP,7756
AVENIDA ANTONIO JOAQUIM DE SOUSA,1096,62200000,CENTRO,NOVA RUSSAS,CE,7757
SERVIDAO AUGUSTO RUSCHI,40,88063006,CAMPECHE,FLORIANOPOLIS,SC,7758
RUA SAO GABRIEL,132,60120110,JOAQUIM TAVORA,FORTALEZA,CE,7759
ALAMEDA 1 DE MAIO,10,69255000,CENTRO,CAREIRO DA VARZEA,AM,7760
RUA VENANCIO JOSE DE SOUZA,113,39970000,NOVO PROGRESSO,PEDRA AZUL,MG,7761
RUA BOM PASTOR,975,04203000,IPIRANGA,SAO PAULO,SP,7762
SITIO RODRIGUES,,13970970,ELEUTERIO,ITAPIRA,SP,7763
RODOVIA ROMILDO PRADO,SN,13255750,TAPERA GRANDE,ITATIBA,SP,7764
RUA DOMINGOS BERTAGLIA,76,09891110,VILA SANTA IZABEL,SAO BERNARDO DO CAMPO,SP,7766
RUA A,1509,45055480,JUREMA,VITORIA DA CONQUISTA,BA,7768
RUA WASHINGTON LUIZ,562,14795000,CENTRO,COLOMBIA,SP,7769
RUA ALAMIRO GARCIA,1673,88820000,AURORA,ICARA,SC,7770
RUA DO CRUZEIRO,86,54580635,PONTE DOS CARVALHOS,CABO DE SANTO AGOSTINHO,PE,7772
RUA CROTONS,36,06528301,VILA ANORAL,SANTANA DE PARNAIBA,SP,7773
RUA SANTANA DO PARNAIBA,31,06824035,JARDIM DOM JOSE,EMBU DAS ARTES,SP,7774
AVENIDA AYRTON SENNA DA SILVA,148552,54410240,PIEDADE,JABOATAO DOS GUARARAPES,PE,7775
RUA RUY BARBOSA,345,45600222,CENTRO,ITABUNA,BA,7776
CONJUNTO VILLAGE CAMPESTRE I,38A,57073020,CIDADE UNIVERSITARIA,MACEIO,AL,7777
RUA SAO PAULO,94,18250000,CENTRO,GUAREI,SP,7779
RUA SIRINO RODRIGUES,20,65940000,CENTRO,GRAJAU,MA,7780
RUA SETE DE ABRIL,9,40430390,VILA RUI BARBOSA,SALVADOR,BA,7781
RUA GETULIO VARGAS,25,37474000,CENTRO,DOM VICOSO,MG,7782
RUA VARZEA SANTA LUZIA,135A,37460000,PINHEIRINHOS,PASSA QUATRO,MG,7783
RUA MESSIAS DE PINA,69,03162090,MOOCA,SAO PAULO,SP,7784
AVENIDA DOUTOR ALTINO ARANTES,1098,04042000,VILA MARIANA,SAO PAULO,SP,7786
RUA JOAO ALVES DA MOTTA JUNIOR,831,29670000,SAO CRISTOVAO,IBIRACU,ES,7787
AVENIDA BRASILIA,2169,78840000,CENTRO,CAMPO VERDE,MT,7789
QI 29 BLOCO A,SN,71675205,LAGO SUL,BRASILIA,DF,7791
RUA JAURY HEIRTOR DE SOUZA,446,85508323,GRALHA AZUL,PATO BRANCO,PR,7792
SHN QUADRA 2 BLOCO J,SN,70310500,ASA NORTE,BRASILIA,DF,7794
AVENIDA DESEMBARGADOR TACITO DE CALDAS,189,65930000,CENTRO,ACAILANDIA,MA,7796
RUA DOMINGOS FAUSTINO SARMIENTO,3,04836360,JARDIM ALPINO,SAO PAULO,SP,7797
RUA 23,,72870235,NOVO JARDIM ORIENTE,VALPARAISO DE GOIAS,GO,7798
AVENIDA MARANHAO,691,13572390,JARDIM PACAEMBU,SAO CARLOS,SP,7800
SERRINHA DO GATZ,SN,89290000,BELA ALIANCA,SAO BENTO DO SUL,SC,7801
AVENIDA MAESTRO ANTONIO AMATO,921,15105000,CENTRO,POTIRENDABA,SP,7802
RUA BANCARIOS VALDEMAR M ACCIOLY,998,58051000,BANCARIOS,JOAO PESSOA,PB,7804
RUA DOS CROTONS,1,06515065,B 120 FAZENDINHA,SANTANA DE PARNAIBA,SP,7805
RUA JACOB EMERICK,379,11310071,CENTRO,SAO VICENTE,SP,7806
RODOVIA MG 10,,33200000,ANGICOS,VESPASIANO,MG,7808
RUA PROFESSOR AUGUSTO GRACO DOS SANTOS,776,18201350,VILA JUDITE,ITAPETININGA,SP,7809
CONJUNTO RESIDENCIAL,85,73370085,VALE DO AMANHECER PLANALTINA,BRASILIA,DF,7810
AVENIDA DECIMA QUINTA,2076,68909853,MARABAIXO III,MACAPA,AP,7811
ALAMEDA ANTUERPIA,186,06437030,RECANTO PHRYNEA,BARUERI,SP,7812
RUA EUBIA BARROSO,2821,62500000,CENTRO,ITAPIPOCA,CE,7813
RODOVIA GUIDO DE MATOS RODRIGUES,SN,87240000,PERIMETRAL,TERRA BOA,PR,7815
RODOVIA GO 164,,76720000,ZONAL,ARAGUAPAZ,GO,7817
AVENIDA PRESIDENTE VARGAS,1509,79730000,CENTRO,GLORIA DE DOURADOS,MS,7819
RUA 1,312,78068070,BOA ESPERANCA,CUIABA,MT,7820
AVENIDA PADRE JOSE VIEGAS,1203,35661072,SANTA EDWIRGES,PARA DE MINAS,MG,7822
RUA BARAO NICOLINO BARRA,139,05849190,JARDIM GERMANIA,SAO PAULO,SP,7824
RUA RAUL POMPEIA,1751,81330000,FAZENDINHA,CURITIBA,PR,7826
RUA REINOLDO SHAFFER,75,83260000,CENTRO,MATINHOS,PR,7828
TRAVESSA AEROPORTO,12,47150000,EXTREMIDADE,SANTA RITA DE CASSIA,BA,7829
RUA MATHIAS RHIS,105,39801329,MATINHA,TEOFILO OTONI,MG,7830
AVENIDA DEPUTADO NILSON RIBAS,339,86315970,CENTRO,SANTO ANTONIO DO PARAISO,PR,7832
RUA CUSTODIO FARIA DE MORAES,28,17490000,JARDIM PANORAMA,PIRATININGA,SP,7833
RUA CANDIDO BRASIL ESTRELA,30,15054220,,SAO JOSE DO RIO PRETO,SP,7834
RUA DO HOSPICIO QUIOSQ,,50050050,BOA VISTA,RECIFE,PE,7835
AVENIDA BRASIL,2190,87400970,CENTRO,CRUZEIRO DO OESTE,PR,7836
RUA VINTE E UM,16,65061830,RIO ANIL,SAO LUIS,MA,7837
ALAMEDA DAS AMERICAS,166,39404303,INDEPENDENCIA,MONTES CLAROS,MG,7839
AVENIDA DOS HOLANDESES,14,65075650,PONTA D AREIA,SAO LUIS,MA,7841
RUA HENRIQUE DIAS,208,50070140,BOA VISTA,RECIFE,PE,7843
RUA ANTONIO GODOI DE MELO,10,55390000,ALTO DO SAO FRANCISCO,IBIRAJUBA,PE,7844
RUA ARQUIMEDES MARDEGAM,187,09320215,PARQUE BOA ESPERANCA,MAUA,SP,7845
PRACA LEONOR CORREIA,SN,24457010,TRINDADE,SAO GONCALO,RJ,7846
RUA MARIA LOPES DOS SANTOS,341,58067224,GRAMAME,JOAO PESSOA,PB,7847
AVENIDA DEZESSETE DE AGOSTO,1872,52061540,CASA FORTE,RECIFE,PE,7849
RUA DI CAVALCANTI,1628,85864290,JARDIM BOA VISTA,FOZ DO IGUACU,PR,7851
AVENIDA DOUTOR MANOEL PEDRO,2411,83750000,CENTRO,LAPA,PR,7852
RUA PLACIDO DE CASTRO,301,96065710,TRES VENDAS,PELOTAS,RS,7853
RUA TREZE DE MAIO,100,13900005,CENTRO,AMPARO,SP,7854
RUA GONCALVES DIAS,41,57051330,FAROL,MACEIO,AL,7855
AVENIDA DOUTOR OLIVIO LIRA,353,29101950,PRAIA DA COSTA,VILA VELHA,ES,7856
RUA ITAJAI,388,90470140,PETROPOLIS,PORTO ALEGRE,RS,7858
RUA BENEDITO ROD DA SILVA,249,12223200,JARDIM DIAMANTE,SAO JOSE DOS CAMPOS,SP,7860
RUA DOM AQUINO,443,79008070,CENTRO,CAMPO GRANDE,MS,7862
RUA ALOISIO LEONI,457,83750000,CENTRO,LAPA,PR,7864
QUADRA 19,2,67125000,QUARENTA HORAS,ANANINDEUA,PA,7865
ESTRADA LINHA CURITIBA,SN,96930000,INTERIOR,CANDELARIA,RS,7866
RUA VIRGINIA CASTIGLIONI,423,05271060,JARDIM SANTA FE ZONA OESTE,SAO PAULO,SP,7867
RUA JOSE ROBALINHO,76,55150120,CENTRO,BELO JARDIM,PE,7869
RUA MANOEL HENRIQUE,SN,83280000,COHAPAR,GUARATUBA,PR,7870
SITIO RECANTO,SN,13400970,TANQUINHO,PIRACICABA,SP,7872
FAZENDA SAO FRANCISCO,SN,14960000,VALE FORMOSO,NOVO HORIZONTE,SP,7873
RUA MARIA RODRIGUES,227,21031490,OLARIA,RIO DE JANEIRO,RJ,7874
RUA DOUTOR ACAUAN,246,97560000,CENTRO,QUARAI,RS,7876
RUA LUCIO CARDOSO,451,35790000,TIBIRA,CURVELO,MG,7878
AVENIDA ESTADOS UNIDOS,52,40010020,COMERCIO,SALVADOR,BA,7879
AVENIDA SARGENTO GERALDO SANT ANA,1100,04674901,JARDIM TAQUARAL,SAO PAULO,SP,7880
RUA CONEGO BERNARDO,101,88036570,TRINDADE,FLORIANOPOLIS,SC,7882
RUA ARMANDO STECK,2,13290970,JARDIM NIERO,LOUVEIRA,SP,7884
AVENIDA SEBASTIAO DE BRITO,780,31260000,DONA CLARA,BELO HORIZONTE,MG,7886
AVENIDA PRESIDENTE VARGAS,632,75901290,CENTRO,RIO VERDE,GO,7888
AVENIDA SANTA LEOPOLDINA,SN,29102225,PRAIA DE ITAPARICA,VILA VELHA,ES,7890
RUA DOUTOR ERLINDO SALZANO,568,13660000,JARDIM PRIMAVERA,PORTO FERREIRA,SP,7892
RUA VALENTINO CARDOSO,171,05161100,JARDIM MARACA,SAO PAULO,SP,7894
AVENIDA LEOPOLDO SANDER D,350,89810168,ELDORADO,CHAPECO,SC,7895
RUA UBERLANDIA,378,35603000,CENTRO,ARAUJOS,MG,7896
RUA RIO SOLIMOES,147,69306665,PARAVIANA,BOA VISTA,RR,7897
AVENIDA W,3,70000000,ASA SUL,BRASILIA,DF,7899
RUA JOAO LOURENCO SCHAEFFER,200,95650000,CENTRO,IGREJINHA,RS,7901
SHOPPING POPULAR MERCADO B DOS ESTADO,SN,58030000,DOS ESTADOS,JOAO PESSOA,PB,7902
RUA BELA VISTA,1276,39403064,MARACANA,MONTES CLAROS,MG,7903
TRECHO PAIAGUAS,SN,78840000,JUPIARA,CAMPO VERDE,MT,7905
AVENIDA MEDEIROS NETO VILA DINAMARCA,51,07251040,AGUA CHATA,GUARULHOS,SP,7907
RUA JOSE FERRAO,1190,97576280,JARDINS,SANTANA DO LIVRAMENTO,RS,7908
RUA BENEDITO ESTEVAM,133,13348631,JOAO PIOLI,INDAIATUBA,SP,7909
RUA DO CORREGO,19,04966000,JARDIM ANGELA ZONA SUL,SAO PAULO,SP,7910
RODOVIA DO PAPEL,,84261000,DISTRITO INDUSTRIAL,TELEMACO BORBA,PR,7912
AVENIDA NELSON CAMILO FERNANDES,1328,78840000,DISTRITO INDUSTRIAL II,CAMPO VERDE,MT,7914
RUA MANOEL TAVARES DE ALMEIDA,162,31970132,JARDIM VITORIA,BELO HORIZONTE,MG,7915
RUA ANTONIO JOSE SANTANA,715,91540180,AGRONOMIA,PORTO ALEGRE,RS,7916
RUA TOME DE SOUZA,45,89223170,BOM RETIRO,JOINVILLE,SC,7917
AVENIDA JOSE DIAS FILHO,193,36784000,PEDRO DIAS MOREIRA,DONA EUZEBIA,MG,7918
RUA MANOEL MARTINS DE ARAUJO,203,55018330,SALGADO,CARUARU,PE,7919
TRECHO JOAO LESSA,36,36555000,CENTRO,ERVALIA,MG,7921
AVENIDA GERSON A DE MACEDO,608,64770000,CENTRO,SAO RAIMUNDO NONATO,PI,7922
RUA PEDRO GAMA,31,40231020,FEDERACAO,SALVADOR,BA,7924
FAZENDA SANTA RITA,SN,14750000,ZONA RURAL,PITANGUEIRAS,SP,7926
RUA OLAVO BARRETO VIANA,63,90570070,MOINHOS DE VENTO,PORTO ALEGRE,RS,7928
RUA SANTA CLARA,722,12502080,CAMPINHO,GUARATINGUETA,SP,7930
RUA PROFESSOR DARIO VELOSO,110,80320050,VILA IZABEL,CURITIBA,PR,7931
RUA APOLINARIO RODRI SOARES,400,28940255,CENTRO,SAO PEDRO DA ALDEIA,RJ,7932
RUA BAHIA,1125,79010241,VILA MORMAN,CAMPO GRANDE,MS,7934
RUA MIGUEL COUTO,1511,75532370,SETOR NOVO HORIZONTE,ITUMBIARA,GO,7936
AVENIDA MARECHAL RONDON,,76900082,CENTRO,JI PARANA,RO,7938
AVENIDA NOSSA SENHORA APARECIDA,2113,14170150,SAO JOAO,SERTAOZINHO,SP,7939
RUA FRANCISCO DEROSSO,1404,81710000,XAXIM,CURITIBA,PR,7940
RUA QUATRO,1549,79560970,CENTRO,CHAPADAO DO SUL,MS,7941
AVENIDA CAXANGA,2456,50721000,IPUTINGA,RECIFE,PE,7944
RUA DOS EUCALIPTOS,221,88054150,CANASVIEIRAS,FLORIANOPOLIS,SC,7946
RUA DOUTOR JOAQUIM LOUREIRO,95,53416640,VILA PRES VARGAS,PAULISTA,PE,7948
AVENIDA VASCO DA GAMA,434,40240090,ENGENHO VELHO DE BROTAS,SALVADOR,BA,7949
RUA SAO BERNARDO,12,45700000,PRIMAVERA,ITAPETINGA,BA,7950
RUA XV DE NOVEMBRO,591,89010001,CENTRO,BLUMENAU,SC,7952
AVENIDA WALFREDO MACEDO BRANDAO,1060,58052200,JARDIM CIDADE UNIVERSITA,JOAO PESSOA,PB,7954
QUADRA 601 SUL AVENIDA JOAQUIM TEOTONIO SEGURADO 3,,77016330,PLANO DIRETOR SUL,PALMAS,TO,7955
RUA DA REPUBLICA,152,93315540,OPERARIO,NOVO HAMBURGO,RS,7956
RUA LONDRES,13,88345599,SANTA REGINA,CAMBORIU,SC,7957
ACESSO LOCALIDADE DE CAMPINA DO SIMAO,SN,85148000,,CAMPINA DO SIMAO,PR,7959
AVENIDA AMAZONAS,1323,30180002,SANTO AGOSTINHO,BELO HORIZONTE,MG,7960
RUA JORDAO FRANCISCO DE JESUS,SN,17960000,CENTRO,MONTE CASTELO,SP,7961
AVENIDA FRANCISCO MAGNANI,474,69190000,SANTA LUZIA,MAUES,AM,7962
RUA VISCONDE DO RIO BRANCO,180,17201080,CENTRO,JAU,SP,7964
RUA CARLOS GOMES,1309,14801340,CENTRO,ARARAQUARA,SP,7966
RODOVIA SP 340,,13083000,BARAO GERALDO,CAMPINAS,SP,7968
RUA ALBERTO UTPADEL,,89261600,RIO CERRO II,JARAGUA DO SUL,SC,7969
AVENIDA PRUDENTE DE MORAES,66,87020010,ZONA 7,MARINGA,PR,7970
AVENIDA BERNARDO VIEIRA DE MELO,5767,54450020,CANDEIAS,JABOATAO DOS GUARARAPES,PE,7971
AVENIDA BRASIL,459,29680000,CENTRO,JOAO NEIVA,ES,7972
RUA ADOLFO CASSOLI,25,29215400,MUQUICABA,GUARAPARI,ES,7974
RUA PARACATU,554,36046040,QUINTAS DAS AVENIDAS,JUIZ DE FORA,MG,7976
RUA FIORINO D AGOSTINI,1814,95032480,SANTA CATARINA,CAXIAS DO SUL,RS,7977
RUA CHIQUINHO BATISTA,120,35668000,CENTRO,CONCEICAO DO PARA,MG,7978
RUA 24 DE OUTUBRO,1335,68005040,ALDEIA,SANTAREM,PA,7980
AVENIDA JOAO DAMASCENO DE SA,1813,77710000,SETOR AEROPORTO,PEDRO AFONSO,TO,7981
AVENIDA LIBERDADE,278,68515000,DA PAZ,PARAUAPEBAS,PA,7982
RUA JOAO CARLOS CABRAL,192,57150000,CENTRO,PILAR,AL,7983
AVENIDA SENADOR SALGADO FILHO,2234,59064900,CANDELARIA,NATAL,RN,7984
RODOVIA BR 104,,55002971,NOVA CARUARU,CARUARU,PE,7986
RUA PROFESSOR EDGAR DE MORAES,57,06502165,JARDIM DEGHI,SANTANA DE PARNAIBA,SP,7987
AVENIDA NOSSA SENHORA DE COPACABANA,664,22050001,COPACABANA,RIO DE JANEIRO,RJ,7988
RUA MENALDO RODRIGUES,96,04030010,JARDIM LUZITANIA,SAO PAULO,SP,7990
PRACA PRESIDENTE CASTELO BRANCO,44A,25845970,AREAL,AREAL,RJ,7992
RUA CARLOS TREIN FILHO,254,90450120,AUXILIADORA,PORTO ALEGRE,RS,7994
RODOVIA BR 376,SN,79730000,ZONA RURAL,GLORIA DE DOURADOS,MS,7995
RUA VISCONDE DE ITABORAI,396,24030090,CENTRO,NITEROI,RJ,7996
AVENIDA SETE DE SETEMBRO,494D,36950970,CENTRO,IPANEMA,MG,7998
RUA ALTO DO SAO FRANCISCO,SN,44200000,CENTRO,SANTO AMARO,BA,8000
AVENIDA PRADO JUNIOR,160,22011040,COPACABANA,RIO DE JANEIRO,RJ,8002
RUA SETENTA E NOVE,64,53441055,MARANGUAPE I,PAULISTA,PE,8003
CORREGO FORTALEZA,SN,29750000,ZONA RURAL,PANCAS,ES,8004
ESTRADA COSTA GAMA,3825,91787290,BELEM VELHO,PORTO ALEGRE,RS,8005
RUA CORONEL ARDELINO DE CARVALHO,45,36930000,CENTRO,SIMONESIA,MG,8006
RUA SAO FRANCISCO DE ASSIS,308,57035400,PONTA VERDE,MACEIO,AL,8008
RUA DOUTOR PAULO RAMOS,72,65620000,CENTRO,COELHO NETO,MA,8009
RUA TEIXEIRA DE FREITAS,171,45997000,CENTRO,TEIXEIRA DE FREITAS,BA,8011
RUA SAO LUIZ,315,98898000,CENTRO,UBIRETAMA,RS,8012
VILA NOSSA SENHORA DA CONCEICAO,213,66023350,JURUNAS,BELEM,PA,8013
PRACA DO COMERCIO,41,46700000,NOVO HORIZONTE,IBITIARA,BA,8015
ASSENT SAO JOSE,,85195000,,RESERVA DO IGUACU,PR,8016
AVENIDA SENADOR TEOTONIO VILELA,4407,08210040,VILA SAO JOSE,SAO PAULO,SP,8018
RUA PORTUGAL,60,06502370,JARDIM SAO LUIS,SANTANA DE PARNAIBA,SP,8020
RUA SAO JERONIMO,1702,61604170,CONJUNTO METROPOLITANO,CAUCAIA,CE,8021
RUA 49,,71693152,SAO SEBASTIAO,BRASILIA,DF,8023
RUA SAO FRANCISCO DE ASSIS,139A,49087000,SANTOS DUMONT,ARACAJU,SE,8025
RUA OURIQUE,916,21011130,PENHA CIRCULAR,RIO DE JANEIRO,RJ,8027
AVENIDA ANGELO CORGHI,1397,19500000,JARDIM O PIONEIRO,MARTINOPOLIS,SP,8029
RUA JOAO FORTKAMP,41,85050350,PRIMAVERA,GUARAPUAVA,PR,8031
RUA JOAQUIM MAGALHAES,1318,60040160,JOAQUIM TAVORA,FORTALEZA,CE,8032
RUA JOSE ALEXANDRE,327,57305400,BAIXAO,ARAPIRACA,AL,8033
RUA ROGERIO MAGALHAES,15,69094600,CIDADE NOVA,MANAUS,AM,8035
VILA PAQUETA,14,40250200,COSME DE FARIAS,SALVADOR,BA,8036
RUA CARLOS DE LAET,1101,81610050,VILA HAUER,CURITIBA,PR,8037
RUA AMARAL GURGEL,50,01221000,VILA BUARQUE,SAO PAULO,SP,8038
RUA MAJOR OSCAR CAMPOS,492,75901520,CENTRO,RIO VERDE,GO,8040
RUA RUI BARBOSA,275,86870000,JARDIM OURO PRETO,IVAIPORA,PR,8041
RUA GRACILIANO ALBUQUERQUE DE SOUZA,86,18160000,JARDIM PRIMAVERA,SALTO DE PIRAPORA,SP,8042
AVENIDA 20 DE MARCO,SN,99175000,CENTRO,NICOLAU VERGUEIRO,RS,8044
RUA CAETANO PESSI,261,37190000,CIDADE JARDIM,TRES PONTAS,MG,8045
RUA DOUTOR ALBERTO TORRES,2189,24426270,PORTO VELHO,SAO GONCALO,RJ,8046
AVENIDA SILVERIO CAMPOS,313,36880000,,MURIAE,MG,15380
RUA DO QUARTEL,198,96210052,CASSINO,RIO GRANDE,RS,8049
RODOVIA GO 40,,75610000,SETOR ZONA RURAL,JOVIANIA,GO,8051
RUA CARANGOLA,240,39860000,CENTRO,NANUQUE,MG,8052
RUA 204,,75650000,SETOR AEROPORTO,MORRINHOS,GO,8053
ALAMEDA DO TISIO,41,11250000,JARDIM RIO DA GRANJA MANGUE SECO,BERTIOGA,SP,8054
BLOCO C,,98120000,INTERIOR,BOA VISTA DO INCRA,RS,8055
RUA TIJUCO PRETO,1593,03316000,TATUAPE,SAO PAULO,SP,8057
TRAVESSA ANTONIO AMARAL,37,45206040,JEQUIEZINHO,JEQUIE,BA,8058
RUA VEREADORA LUCIA TEIXEIRA,39E,41207360,TANCREDO NEVES,SALVADOR,BA,8059
RUA LOPES CARDOSO,39,40301155,CONCEICAO DA PRAIA,SALVADOR,BA,8060
RUA DO POSTO,SN,62280000,CATUNDA,SANTA QUITERIA,CE,8061
RUA PASTOR FRITZ BUHLER,76,89201470,CENTRO,JOINVILLE,SC,8063
LOCALIDADE RIO BARIGUI,SN,83370000,SITIO DOS ARANTES,ANTONINA,PR,8065
RUA CORONEL GONZAGA,SN,75690000,CENTRO,CALDAS NOVAS,GO,8067
RUA JULIO TISSI,466,89265800,NEREU RAMOS,JARAGUA DO SUL,SC,8069
RUA PARACATU,357,04302020,PARQUE IMPERIAL,SAO PAULO,SP,8071
RUA 4,,64740000,CENTRO,CONCEICAO DO CANINDE,PI,8072
RUA DO BANCARIO,15,84065010,PERIQUITOS,PONTA GROSSA,PR,8073
AVENIDA DEZ DE DEZEMBRO,7233,86046050,PARQUE OURO BRANCO,LONDRINA,PR,8075
AVENIDA MARECHAL TITO,734,08010090,SAO MIGUEL PAULISTA,SAO PAULO,SP,8077
RUA JOAO CARLOS DO SACRAMENTO,69,41710330,BOCA DO RIO,SALVADOR,BA,8078
RUA MIGUEL DA MATA SA,1,08275170,JARDIM N S DO CARMO,SAO PAULO,SP,8079
PRACA PROFESSOR MARIO BULCAO,283,03214070,VILA CALIFORNIA,SAO PAULO,SP,8080
RUA SAO JOAO DEL REI,38,37300000,ROSARIO,ANDRELANDIA,MG,8082
ESTRADA LARAMARA,235,07600000,JUNDIAIZINHO,MAIRIPORA,SP,8083
RUA SAO JOAO BATISTA,95,64205360,JOAO XXIII,PARNAIBA,PI,8084
ACESSO TREVO DE ACESSO NA BR,468,98580000,TURVINHO,CORONEL BICACO,RS,8085
AVENIDA ESTRADA DO ARACAGY,4,65110000,JARDIM ARACAGY,SAO JOSE DE RIBAMAR,MA,8087
RUA CORONEL FRANCISCO MARTINS,988,14540000,CENTRO,IGARAPAVA,SP,8088
RUA ALVORADA,14,81510640,GUABIROTUBA,CURITIBA,PR,8089
RUA DOS EXPEDICIONARIOS,260,84950000,CENTRO,WENCESLAU BRAZ,PR,8090
RUA CAMPINAS DO SUL,45,22710280,CURICICA,RIO DE JANEIRO,RJ,8091
RUA B,SN,40330470,BROTAS,SALVADOR,BA,8093
AVENIDA CAXANGA,3564,50670000,IPUTINGA,RECIFE,PE,8095
AVENIDA FRANCISCO FALCONI,1084,03227000,JARDIM AVELINO,SAO PAULO,SP,8097
RUA BELO HORIZONTE,545,88115270,SERRARIA,SAO JOSE,SC,8098
AVENIDA OTACILIO NEGRAO DE LIMA,8000,31270802,PAMPULHA,BELO HORIZONTE,MG,8099
AVENIDA THIAGO FERREIRA,215,11450000,VILA ALICE VICENTE DE CARVALHO,GUARUJA,SP,8101
RUA HUMBERTO PORFILIO CORTES,56,45950000,BIRRO FRAGA,LAJEDAO,BA,8102
RUA OFION,68,02056040,VILA GUILHERME,SAO PAULO,SP,8103
RUA ANTONIO MASCERI,1,17026837,NUCLEO HAB NOBUJI NAGASAWA,BAURU,SP,8104
RUA SANTO ANTONIO,35,40710730,PLATAFORMA,SALVADOR,BA,8106
AVENIDA ALMIRANTE BARROSO,SN,68750000,BRASILIA,CURUCA,PA,8107
RUA BARAO DO RIO BRANCO,3706,85905040,CENTRO,TOLEDO,PR,8108
RUA JOSE LUIZ NOGUEIRA,437,35010190,CENTRO,GOVERNADOR VALADARES,MG,8110
AVENIDA JOSE MARIA FERNANDES,628,02185030,PARQUE NOVO MUNDO,SAO PAULO,SP,8112
AVENIDA GOVERNADOR JANIO QUADROS,920,08526000,PARQUE SAO FRANCISCO,FERRAZ DE VASCONCELOS,SP,8114
AVENIDA GUARAPARI,10,29164120,JARDIM LIMOEIRO,SERRA,ES,8115
RUA SANTOS DUMONT,32,93320460,INDUSTRIAL,NOVO HAMBURGO,RS,8117
RUA RSC,324,95320000,VILA SABIA,NOVA PRATA,RS,8118
RUA NHAMBU,255,07141150,JARDIM SANTA INES,GUARULHOS,SP,8119
RUA TIBURCIO NEMEZIO,57,57700000,CENTRO,VICOSA,AL,8120
RUA JOSE IBIAPINA ROCHA,,62550000,CENTRO,MORRINHOS,CE,8121
CL QUADRA 202 BLOCO D,SN,70832545,ASA NORTE,BRASILIA,DF,8123
ESTRADA VELHA SP RJ,,12340060,SAO SILVESTRE,JACAREI,SP,8124
FAZENDA JACARE,SN,35590000,ZONA RURAL,LAGOA DA PRATA,MG,8125
RUA SAMOEL MORELLI FILHO,230,08572005,PEDREIRA,ITAQUAQUECETUBA,SP,8127
RUA DAS TIPUANAS,356,87060130,CONJUNTO HAB INOC V NOVA JUNIOR,MARINGA,PR,8128
