cnae_2digitos,cd_cnpj,nu_ordem,cd_ramo_atividade,de_ramo_atividade,ramo_atividade,divisoes
10,09612415000190,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09085264000160,0,1013901,COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07680410000170,0,1091102,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13240103000170,0,1053800,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07650858000140,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02094655000100,0,1052000,FABRICACAO DE LATICINIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,08715125000100,0,1095300,COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11681504000130,0,1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11535037000130,0,1094500,FABRICACAO DE MASSAS ALIMENTICIAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,08715125000100,1,1099699,"COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12266312000120,0,1020102,COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12196976000160,0,1099699,FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,01912375000190,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
